,,ロット情報,,,,,,①盛り後,②2~3h後点検,,,,,③制御2→3,,,,,,,④手入れ前,,,,,,,,⑤制御3→4,,,,,,⑥制御4,,,⑦朝から除湿,,,,,
製麴機,月日,産地,新古,品種,精米歩合,枚数,重量,①品温,②時刻,②時刻(h),②品温,②保温1,②保温2,③換気,③排気,③除湿機入り,③除湿機戻り,③保温1,③保温2,③風量,④時刻,④時刻(h),④品温,④換気,④排気,④除湿機入り,④除湿機戻り,④風量,"⑤変更有無
変更無=1
変更有=2",⑤換気,⑤排気,⑤除湿機入り,⑤除湿機戻り,⑤風量,⑥変更有無,⑥換気,⑥排気,⑦換気,⑦排気,⑦除湿機入り,⑦除湿機戻り,⑦風量,
A,2021/10/13,広島県,新米,八反錦,70,6,140,32.08,12:33:00,12.55 ,36.08,,,1.5,2.4,全閉,全閉,38.0,38.5,6.4,15:57:00,15.95 ,41.44,1.2,2.1,3.1,全開,6.4,2,1.0,1.9,3.1,全開,6.4,2,1.1,2.0,,,,,,
B,2021/10/14,兵庫県,新米,山田錦,50,6,132,33.32,10:52:00,10.87 ,35.58,,,1.4,2.3,全閉,全閉,38.0,38.5,6.2,15:31:00,15.52 ,41.36,1.0,1.9,3.1,全開,6.3,2,1.1,2.0,3.1,全開,6.3,2,1.3,2.15,,,,,,
A,2021/10/16,広島県,新米,八反錦,60,6,140,31.78,11:26:00,11.43 ,34.16,,,1.4,2.2,全閉,全閉,38.0,38.5,6.4,15:45:00,15.75 ,41.12,1.1,2.0,3.1,全開,6.4,2,1.2,2.1,3.1,全開,6.4,2,1.1,2.0,,,,,,
B,2021/10/17,広島県,新米,八反錦,70,6,133,32.24,11:00:00,11.00 ,34.10,,,1.4,2.2,,,,,,15:47:00,15.78 ,41.38,1.1,2.1,3.1,全開,6.4,2,1.2,2.2,3.1,全開,6.4,2,1.1,2.0,,,,,,
A,2021/10/18,広島県,新米,八反錦,60,4,90,30.76,,,,,,1.3,2.2,全閉,全閉,38.0,38.5,5.3,15:58:00,15.97 ,40.86,1.3,2.2,全閉,全閉,5.3,1,1.3,2.2,全閉,全閉,5.3,1,1.3,2.2,0.3,0.8,3.1,0.5,5.5,
B,2021/10/19,広島県,新米,八反錦,60,6,140,31.44,,,,,,1.4,2.2,全閉,全閉,38.5,39.0,6.3,16:20:00,16.33 ,40.68,1.0,1.9,3.1,全開,6.3,2,1.0,1.7,3.1,全開,6.3,2,0.8,1.5,,,,,,
A,2021/10/20,広島県,新米,八反錦,60,4,90,30.88,,,,,,1.3,2.2,全閉,全閉,39.0,39.5,5.3,16:17:00,16.28 ,40.14,1.3,2.2,全閉,全閉,5.3,1,1.3,2.2,全閉,全閉,5.3,2,1.1,2.0,0.2,0.65,3.1,0.5,5.5,
B,2021/10/21,広島県,新米,八反錦,60,6,140,31.88,,,,,,1.4,2.3,全閉,全閉,39.0,39.5,6.4,15:54:00,15.90 ,41.06,0.9,1.8,3.1,全開,6.4,1,0.9,1.8,3.1,全開,6.4,1,0.9,1.8,,,,,,
A,2021/10/22,岡山県,新米,雄町,40,6,130,32.78,13:03:00,13.05 ,37.18,,,1.4,2.2,全閉,全閉,39.0,39.5,6.3,15:45:00,15.75 ,41.42,0.9,1.8,3.1,全開,6.3,1,0.9,1.8,3.1,全開,6.3,1,0.9,1.8,,,,,,
